nft_number,name,wallet
1,cumzillaraptor #1,0xb9b1d4251416066aff6c06e4ab7a8ee4d2312e29
3,cumzillaraptor #3,0x7fa77093e83c9292c2357ea799ac2c57ec138203
4,cumzillaraptor #4,0xb0e683427202d14366977b7183d228a508b5a19c
6,cumzillaraptor #6,0x48fcb0e61921d8480a63d82926d3ea80cc0d94d2
9,cumzillaraptor #9,0xb6c50f4dcdbcf91e10aab06db6ec839b0e7ddd00
12,cumzillaraptor #12,0x852be9a14da06426b95de6efc9ed972da2df933f
13,cumzillaraptor #13,0xb0e683427202d14366977b7183d228a508b5a19c
15,cumzillaraptor #15,0xb0e683427202d14366977b7183d228a508b5a19c
17,cumzillaraptor #17,0xb0e683427202d14366977b7183d228a508b5a19c
18,cumzillaraptor #18,0x5a17fb43794212f5fac2298747c8757b8dd94a17
19,cumzillaraptor #19,0xb0e683427202d14366977b7183d228a508b5a19c
21,cumzillaraptor #21,0x02cdae755a57f2b0ec3c4c70d91c445e84c32e9f
24,cumzillaraptor #24,0x454908004f88436f46efac5578b4984fe1375206
33,cumzillaraptor #33,0xa9cf7dc0e5c14184bfd18a755613dae4e9c50d04
35,cumzillaraptor #35,0xb0e683427202d14366977b7183d228a508b5a19c
37,cumzillaraptor #37,0x4dc6750a016db9a96fef40d852e1faee11733db6
38,cumzillaraptor #38,0x39067aeb2a223685bc606bc94545e53015468eef
39,cumzillaraptor #39,0xb0e683427202d14366977b7183d228a508b5a19c
40,cumzillaraptor #40,0x3a990cde4e48b5cfaed619929d78f85ec7995f84
41,cumzillaraptor #41,0xcc0ba34ffe6107d4119fca34dde7b09386bc8166
42,cumzillaraptor #42,0xb9b1d4251416066aff6c06e4ab7a8ee4d2312e29
44,cumzillaraptor #44,0x4a9eca0baea47df184a7a3a6508d3b2517c58ea1
46,cumzillaraptor #46,0xb0e683427202d14366977b7183d228a508b5a19c
51,cumzillaraptor #51,0xb0e683427202d14366977b7183d228a508b5a19c
61,cumzillaraptor #61,0xb0e683427202d14366977b7183d228a508b5a19c
63,cumzillaraptor #63,0x472c2cfa4d5e6e2f4c1ee62c6b4f1a977e3dc943
64,cumzillaraptor #64,0xb0e683427202d14366977b7183d228a508b5a19c
65,cumzillaraptor #65,0x8457513abdf710e69f0fb357d82cacf048296f61
69,cumzillaraptor #69,0xa3ee7fd776fc436f0a4b464de2a3b73eebfdc5bb
75,cumzillaraptor #75,0x8447e981341dd44f7a6caf26e6452d3fb12d8592
79,cumzillaraptor #79,0xb0e683427202d14366977b7183d228a508b5a19c
83,cumzillaraptor #83,0x57897b44a9e41349072f8639a3996c3dbbef5c41
85,cumzillaraptor #85,0x76daa4c77e41ce078d2badf3337ec060e4590a6d
86,cumzillaraptor #86,0xd2d796d8613dd06c5196bf650e6bb726eed6e2f7
87,cumzillaraptor #87,0x9519d34cf0dd9cda22cf84d9b9f8de5a7f22600c
89,cumzillaraptor #89,0x44c3cf2d964d7b2f9be5fa612b0cc436720f6ead
90,cumzillaraptor #90,0xb6c50f4dcdbcf91e10aab06db6ec839b0e7ddd00
